词语       十进制 符号化反转二进制 二进制    反转二进制
intend       474      ○●○●●○●●●○ 0111011010   0101101110  
intimate     475      ●●○●●○●●●○ 0111011011   1101101110  
invasion     476      ○○●●●○●●●○ 0111011100   0011101110  
involve      477      ●○●●●○●●●○ 0111011101   1011101110  
iris         478      ○●●●●○●●●○ 0111011110   0111101110  
island       479      ●●●●●○●●●○ 0111011111   1111101110  
isolate      480      ○○○○○●●●●○ 0111100000   0000011110  
item         481      ●○○○○●●●●○ 0111100001   1000011110  
ivory        482      ○●○○○●●●●○ 0111100010   0100011110  
jacket       483      ●●○○○●●●●○ 0111100011   1100011110  
jerky        484      ○○●○○●●●●○ 0111100100   0010011110  
jewelry      485      ●○●○○●●●●○ 0111100101   1010011110  
join         486      ○●●○○●●●●○ 0111100110   0110011110  
judicial     487      ●●●○○●●●●○ 0111100111   1110011110  
juice        488      ○○○●○●●●●○ 0111101000   0001011110  
jump         489      ●○○●○●●●●○ 0111101001   1001011110  
junction     490      ○●○●○●●●●○ 0111101010   0101011110  
junior       491      ●●○●○●●●●○ 0111101011   1101011110  
junk         492      ○○●●○●●●●○ 0111101100   0011011110  
jury         493      ●○●●○●●●●○ 0111101101   1011011110  
justice      494      ○●●●○●●●●○ 0111101110   0111011110  
kernel       495      ●●●●○●●●●○ 0111101111   1111011110  
keyboard     496      ○○○○●●●●●○ 0111110000   0000111110  
kidney       497      ●○○○●●●●●○ 0111110001   1000111110  
kind         498      ○●○○●●●●●○ 0111110010   0100111110  
kitchen      499      ●●○○●●●●●○ 0111110011   1100111110  
knife        500      ○○●○●●●●●○ 0111110100   0010111110  
knit         501      ●○●○●●●●●○ 0111110101   1010111110  
laden        502      ○●●○●●●●●○ 0111110110   0110111110  
ladle        503      ●●●○●●●●●○ 0111110111   1110111110  
ladybug      504      ○○○●●●●●●○ 0111111000   0001111110  
lair         505      ●○○●●●●●●○ 0111111001   1001111110  
lamp         506      ○●○●●●●●●○ 0111111010   0101111110  
language     507      ●●○●●●●●●○ 0111111011   1101111110  
large        508      ○○●●●●●●●○ 0111111100   0011111110  
laser        509      ●○●●●●●●●○ 0111111101   1011111110  
laundry      510      ○●●●●●●●●○ 0111111110   0111111110  
lawsuit      511      ●●●●●●●●●○ 0111111111   1111111110  
leader       512      ○○○○○○○○○● 1000000000   0000000001  
leaf         513      ●○○○○○○○○● 1000000001   1000000001  
learn        514      ○●○○○○○○○● 1000000010   0100000001  
leaves       515      ●●○○○○○○○● 1000000011   1100000001  
lecture      516      ○○●○○○○○○● 1000000100   0010000001  
legal        517      ●○●○○○○○○● 1000000101   1010000001  
legend       518      ○●●○○○○○○● 1000000110   0110000001  
legs         519      ●●●○○○○○○● 1000000111   1110000001  
lend         520      ○○○●○○○○○● 1000001000   0001000001  
length       521      ●○○●○○○○○● 1000001001   1001000001  
level        522      ○●○●○○○○○● 1000001010   0101000001  
liberty      523      ●●○●○○○○○● 1000001011   1101000001  
library      524      ○○●●○○○○○● 1000001100   0011000001  
license      525      ●○●●○○○○○● 1000001101   1011000001  
lift         526      ○●●●○○○○○● 1000001110   0111000001  
likely       527      ●●●●○○○○○● 1000001111   1111000001  
lilac        528      ○○○○●○○○○● 1000010000   0000100001  
lily         529      ●○○○●○○○○● 1000010001   1000100001  
lips         530      ○●○○●○○○○● 1000010010   0100100001  
liquid       531      ●●○○●○○○○● 1000010011   1100100001  
listen       532      ○○●○●○○○○● 1000010100   0010100001  
literary     533      ●○●○●○○○○● 1000010101   1010100001  
living       534      ○●●○●○○○○● 1000010110   0110100001  
lizard       535      ●●●○●○○○○● 1000010111   1110100001  
loan         536      ○○○●●○○○○● 1000011000   0001100001  
lobe         537      ●○○●●○○○○● 1000011001   1001100001  
location     538      ○●○●●○○○○● 1000011010   0101100001  
losing       539      ●●○●●○○○○● 1000011011   1101100001  
loud         540      ○○●●●○○○○● 1000011100   0011100001  
loyalty      541      ●○●●●○○○○● 1000011101   1011100001  
luck         542      ○●●●●○○○○● 1000011110   0111100001  
lunar        543      ●●●●●○○○○● 1000011111   1111100001  
lunch        544      ○○○○○●○○○● 1000100000   0000010001  
lungs        545      ●○○○○●○○○● 1000100001   1000010001  
luxury       546      ○●○○○●○○○● 1000100010   0100010001  
lying        547      ●●○○○●○○○● 1000100011   1100010001  
lyrics       548      ○○●○○●○○○● 1000100100   0010010001  
machine      549      ●○●○○●○○○● 1000100101   1010010001  
magazine     550      ○●●○○●○○○● 1000100110   0110010001  
maiden       551      ●●●○○●○○○● 1000100111   1110010001  
mailman      552      ○○○●○●○○○● 1000101000   0001010001  
main         553      ●○○●○●○○○● 1000101001   1001010001  
makeup       554      ○●○●○●○○○● 1000101010   0101010001  
making       555      ●●○●○●○○○● 1000101011   1101010001  
mama         556      ○○●●○●○○○● 1000101100   0011010001  
manager      557      ●○●●○●○○○● 1000101101   1011010001  
mandate      558      ○●●●○●○○○● 1000101110   0111010001  
mansion      559      ●●●●○●○○○● 1000101111   1111010001  
manual       560      ○○○○●●○○○● 1000110000   0000110001  
marathon     561      ●○○○●●○○○● 1000110001   1000110001  
march        562      ○●○○●●○○○● 1000110010   0100110001  
market       563      ●●○○●●○○○● 1000110011   1100110001  
marvel       564      ○○●○●●○○○● 1000110100   0010110001  
mason        565      ●○●○●●○○○● 1000110101   1010110001  
material     566      ○●●○●●○○○● 1000110110   0110110001  
math         567      ●●●○●●○○○● 1000110111   1110110001  
maximum      568      ○○○●●●○○○● 1000111000   0001110001  
mayor        569      ●○○●●●○○○● 1000111001   1001110001  
meaning      570      ○●○●●●○○○● 1000111010   0101110001  
medal        571      ●●○●●●○○○● 1000111011   1101110001  
medical      572      ○○●●●●○○○● 1000111100   0011110001  
member       573      ●○●●●●○○○● 1000111101   1011110001  
memory       574      ○●●●●●○○○● 1000111110   0111110001  
mental       575      ●●●●●●○○○● 1000111111   1111110001  
merchant     576      ○○○○○○●○○● 1001000000   0000001001  
merit        577      ●○○○○○●○○● 1001000001   1000001001  
method       578      ○●○○○○●○○● 1001000010   0100001001  
metric       579      ●●○○○○●○○● 1001000011   1100001001  
midst        580      ○○●○○○●○○● 1001000100   0010001001  
mild         581      ●○●○○○●○○● 1001000101   1010001001  
military     582      ○●●○○○●○○● 1001000110   0110001001  
mineral      583      ●●●○○○●○○● 1001000111   1110001001  
minister     584      ○○○●○○●○○● 1001001000   0001001001  
miracle      585      ●○○●○○●○○● 1001001001   1001001001  
mixed        586      ○●○●○○●○○● 1001001010   0101001001  
mixture      587      ●●○●○○●○○● 1001001011   1101001001  
mobile       588      ○○●●○○●○○● 1001001100   0011001001  
modern       589      ●○●●○○●○○● 1001001101   1011001001  
modify       590      ○●●●○○●○○● 1001001110   0111001001  
moisture     591      ●●●●○○●○○● 1001001111   1111001001  
moment       592      ○○○○●○●○○● 1001010000   0000101001  
morning      593      ●○○○●○●○○● 1001010001   1000101001  
mortgage     594      ○●○○●○●○○● 1001010010   0100101001  
mother       595      ●●○○●○●○○● 1001010011   1100101001  
mountain     596      ○○●○●○●○○● 1001010100   0010101001  
mouse        597      ●○●○●○●○○● 1001010101   1010101001  
move         598      ○●●○●○●○○● 1001010110   0110101001  
much         599      ●●●○●○●○○● 1001010111   1110101001  
mule         600      ○○○●●○●○○● 1001011000   0001101001  
multiple     601      ●○○●●○●○○● 1001011001   1001101001  
muscle       602      ○●○●●○●○○● 1001011010   0101101001  
museum       603      ●●○●●○●○○● 1001011011   1101101001  
music        604      ○○●●●○●○○● 1001011100   0011101001  
mustang      605      ●○●●●○●○○● 1001011101   1011101001  
nail         606      ○●●●●○●○○● 1001011110   0111101001  
national     607      ●●●●●○●○○● 1001011111   1111101001  
necklace     608      ○○○○○●●○○● 1001100000   0000011001  
negative     609      ●○○○○●●○○● 1001100001   1000011001  
nervous      610      ○●○○○●●○○● 1001100010   0100011001  
network      611      ●●○○○●●○○● 1001100011   1100011001  
news         612      ○○●○○●●○○● 1001100100   0010011001  
nuclear      613      ●○●○○●●○○● 1001100101   1010011001  
numb         614      ○●●○○●●○○● 1001100110   0110011001  
numerous     615      ●●●○○●●○○● 1001100111   1110011001  
nylon        616      ○○○●○●●○○● 1001101000   0001011001  
oasis        617      ●○○●○●●○○● 1001101001   1001011001  
obesity      618      ○●○●○●●○○● 1001101010   0101011001  
object       619      ●●○●○●●○○● 1001101011   1101011001  
observe      620      ○○●●○●●○○● 1001101100   0011011001  
obtain       621      ●○●●○●●○○● 1001101101   1011011001  
ocean        622      ○●●●○●●○○● 1001101110   0111011001  
often        623      ●●●●○●●○○● 1001101111   1111011001  
olympic      624      ○○○○●●●○○● 1001110000   0000111001  
omit         625      ●○○○●●●○○● 1001110001   1000111001  
oral         626      ○●○○●●●○○● 1001110010   0100111001  
orange       627      ●●○○●●●○○● 1001110011   1100111001  
orbit        628      ○○●○●●●○○● 1001110100   0010111001  
order        629      ●○●○●●●○○● 1001110101   1010111001  
ordinary     630      ○●●○●●●○○● 1001110110   0110111001  
organize     631      ●●●○●●●○○● 1001110111   1110111001  
ounce        632      ○○○●●●●○○● 1001111000   0001111001  
oven         633      ●○○●●●●○○● 1001111001   1001111001  
overall      634      ○●○●●●●○○● 1001111010   0101111001  
owner        635      ●●○●●●●○○● 1001111011   1101111001  
paces        636      ○○●●●●●○○● 1001111100   0011111001  
pacific      637      ●○●●●●●○○● 1001111101   1011111001  
package      638      ○●●●●●●○○● 1001111110   0111111001  
paid         639      ●●●●●●●○○● 1001111111   1111111001  
painting     640      ○○○○○○○●○● 1010000000   0000000101  
pajamas      641      ●○○○○○○●○● 1010000001   1000000101  
pancake      642      ○●○○○○○●○● 1010000010   0100000101  
pants        643      ●●○○○○○●○● 1010000011   1100000101  
papa         644      ○○●○○○○●○● 1010000100   0010000101  
paper        645      ●○●○○○○●○● 1010000101   1010000101  
parcel       646      ○●●○○○○●○● 1010000110   0110000101  
parking      647      ●●●○○○○●○● 1010000111   1110000101  
party        648      ○○○●○○○●○● 1010001000   0001000101  
patent       649      ●○○●○○○●○● 1010001001   1001000101  
patrol       650      ○●○●○○○●○● 1010001010   0101000101  
payment      651      ●●○●○○○●○● 1010001011   1101000101  
payroll      652      ○○●●○○○●○● 1010001100   0011000101  
peaceful     653      ●○●●○○○●○● 1010001101   1011000101  
peanut       654      ○●●●○○○●○● 1010001110   0111000101  
peasant      655      ●●●●○○○●○● 1010001111   1111000101  
pecan        656      ○○○○●○○●○● 1010010000   0000100101  
penalty      657      ●○○○●○○●○● 1010010001   1000100101  
pencil       658      ○●○○●○○●○● 1010010010   0100100101  
percent      659      ●●○○●○○●○● 1010010011   1100100101  
perfect      660      ○○●○●○○●○● 1010010100   0010100101  
permit       661      ●○●○●○○●○● 1010010101   1010100101  
petition     662      ○●●○●○○●○● 1010010110   0110100101  
phantom      663      ●●●○●○○●○● 1010010111   1110100101  
pharmacy     664      ○○○●●○○●○● 1010011000   0001100101  
photo        665      ●○○●●○○●○● 1010011001   1001100101  
phrase       666      ○●○●●○○●○● 1010011010   0101100101  
physics      667      ●●○●●○○●○● 1010011011   1101100101  
pickup       668      ○○●●●○○●○● 1010011100   0011100101  
picture      669      ●○●●●○○●○● 1010011101   1011100101  
piece        670      ○●●●●○○●○● 1010011110   0111100101  
pile         671      ●●●●●○○●○● 1010011111   1111100101  
pink         672      ○○○○○●○●○● 1010100000   0000010101  
pipeline     673      ●○○○○●○●○● 1010100001   1000010101  
pistol       674      ○●○○○●○●○● 1010100010   0100010101  
pitch        675      ●●○○○●○●○● 1010100011   1100010101  
plains       676      ○○●○○●○●○● 1010100100   0010010101  
plan         677      ●○●○○●○●○● 1010100101   1010010101  
plastic      678      ○●●○○●○●○● 1010100110   0110010101  
platform     679      ●●●○○●○●○● 1010100111   1110010101  
playoff      680      ○○○●○●○●○● 1010101000   0001010101  
pleasure     681      ●○○●○●○●○● 1010101001   1001010101  
plot         682      ○●○●○●○●○● 1010101010   0101010101  
plunge       683      ●●○●○●○●○● 1010101011   1101010101  
practice     684      ○○●●○●○●○● 1010101100   0011010101  
prayer       685      ●○●●○●○●○● 1010101101   1011010101  
preach       686      ○●●●○●○●○● 1010101110   0111010101  
predator     687      ●●●●○●○●○● 1010101111   1111010101  
pregnant     688      ○○○○●●○●○● 1010110000   0000110101  
premium      689      ●○○○●●○●○● 1010110001   1000110101  
prepare      690      ○●○○●●○●○● 1010110010   0100110101  
presence     691      ●●○○●●○●○● 1010110011   1100110101  
prevent      692      ○○●○●●○●○● 1010110100   0010110101  
priest       693      ●○●○●●○●○● 1010110101   1010110101  
primary      694      ○●●○●●○●○● 1010110110   0110110101  
priority     695      ●●●○●●○●○● 1010110111   1110110101  
prisoner     696      ○○○●●●○●○● 1010111000   0001110101  
privacy      697      ●○○●●●○●○● 1010111001   1001110101  
prize        698      ○●○●●●○●○● 1010111010   0101110101  
problem      699      ●●○●●●○●○● 1010111011   1101110101  
process      700      ○○●●●●○●○● 1010111100   0011110101  
profile      701      ●○●●●●○●○● 1010111101   1011110101  
program      702      ○●●●●●○●○● 1010111110   0111110101  
promise      703      ●●●●●●○●○● 1010111111   1111110101  
prospect     704      ○○○○○○●●○● 1011000000   0000001101  
provide      705      ●○○○○○●●○● 1011000001   1000001101  
prune        706      ○●○○○○●●○● 1011000010   0100001101  
public       707      ●●○○○○●●○● 1011000011   1100001101  
pulse        708      ○○●○○○●●○● 1011000100   0010001101  
pumps        709      ●○●○○○●●○● 1011000101   1010001101  
punish       710      ○●●○○○●●○● 1011000110   0110001101  
puny         711      ●●●○○○●●○● 1011000111   1110001101  
pupal        712      ○○○●○○●●○● 1011001000   0001001101  
purchase     713      ●○○●○○●●○● 1011001001   1001001101  
purple       714      ○●○●○○●●○● 1011001010   0101001101  
python       715      ●●○●○○●●○● 1011001011   1101001101  
quantity     716      ○○●●○○●●○● 1011001100   0011001101  
quarter      717      ●○●●○○●●○● 1011001101   1011001101  
quick        718      ○●●●○○●●○● 1011001110   0111001101  
quiet        719      ●●●●○○●●○● 1011001111   1111001101  
race         720      ○○○○●○●●○● 1011010000   0000101101  
racism       721      ●○○○●○●●○● 1011010001   1000101101  
radar        722      ○●○○●○●●○● 1011010010   0100101101  
railroad     723      ●●○○●○●●○● 1011010011   1100101101  
rainbow      724      ○○●○●○●●○● 1011010100   0010101101  
raisin       725      ●○●○●○●●○● 1011010101   1010101101  
random       726      ○●●○●○●●○● 1011010110   0110101101  
ranked       727      ●●●○●○●●○● 1011010111   1110101101  
rapids       728      ○○○●●○●●○● 1011011000   0001101101  
raspy        729      ●○○●●○●●○● 1011011001   1001101101  
reaction     730      ○●○●●○●●○● 1011011010   0101101101  
realize      731      ●●○●●○●●○● 1011011011   1101101101  
rebound      732      ○○●●●○●●○● 1011011100   0011101101  
rebuild      733      ●○●●●○●●○● 1011011101   1011101101  
recall       734      ○●●●●○●●○● 1011011110   0111101101  
receiver     735      ●●●●●○●●○● 1011011111   1111101101  
recover      736      ○○○○○●●●○● 1011100000   0000011101  
regret       737      ●○○○○●●●○● 1011100001   1000011101  
regular      738      ○●○○○●●●○● 1011100010   0100011101  
reject       739      ●●○○○●●●○● 1011100011   1100011101  
relate       740      ○○●○○●●●○● 1011100100   0010011101  
remember     741      ●○●○○●●●○● 1011100101   1010011101  
remind       742      ○●●○○●●●○● 1011100110   0110011101  
remove       743      ●●●○○●●●○● 1011100111   1110011101  
render       744      ○○○●○●●●○● 1011101000   0001011101  
repair       745      ●○○●○●●●○● 1011101001   1001011101  
repeat       746      ○●○●○●●●○● 1011101010   0101011101  
replace      747      ●●○●○●●●○● 1011101011   1101011101  
require      748      ○○●●○●●●○● 1011101100   0011011101  
rescue       749      ●○●●○●●●○● 1011101101   1011011101  
research     750      ○●●●○●●●○● 1011101110   0111011101  
resident     751      ●●●●○●●●○● 1011101111   1111011101  
response     752      ○○○○●●●●○● 1011110000   0000111101  
result       753      ●○○○●●●●○● 1011110001   1000111101  
retailer     754      ○●○○●●●●○● 1011110010   0100111101  
retreat      755      ●●○○●●●●○● 1011110011   1100111101  
reunion      756      ○○●○●●●●○● 1011110100   0010111101  
revenue      757      ●○●○●●●●○● 1011110101   1010111101  
review       758      ○●●○●●●●○● 1011110110   0110111101  
reward       759      ●●●○●●●●○● 1011110111   1110111101  
rhyme        760      ○○○●●●●●○● 1011111000   0001111101  
rhythm       761      ●○○●●●●●○● 1011111001   1001111101  
rich         762      ○●○●●●●●○● 1011111010   0101111101  
rival        763      ●●○●●●●●○● 1011111011   1101111101  
river        764      ○○●●●●●●○● 1011111100   0011111101  
robin        765      ●○●●●●●●○● 1011111101   1011111101  
rocky        766      ○●●●●●●●○● 1011111110   0111111101  
romantic     767      ●●●●●●●●○● 1011111111   1111111101  
romp         768      ○○○○○○○○●● 1100000000   0000000011  
roster       769      ●○○○○○○○●● 1100000001   1000000011  
round        770      ○●○○○○○○●● 1100000010   0100000011  
royal        771      ●●○○○○○○●● 1100000011   1100000011  
ruin         772      ○○●○○○○○●● 1100000100   0010000011  
ruler        773      ●○●○○○○○●● 1100000101   1010000011  
rumor        774      ○●●○○○○○●● 1100000110   0110000011  
sack         775      ●●●○○○○○●● 1100000111   1110000011  
safari       776      ○○○●○○○○●● 1100001000   0001000011  
salary       777      ●○○●○○○○●● 1100001001   1001000011  
salon        778      ○●○●○○○○●● 1100001010   0101000011  
salt         779      ●●○●○○○○●● 1100001011   1101000011  
satisfy      780      ○○●●○○○○●● 1100001100   0011000011  
satoshi      781      ●○●●○○○○●● 1100001101   1011000011  
saver        782      ○●●●○○○○●● 1100001110   0111000011  
says         783      ●●●●○○○○●● 1100001111   1111000011  
scandal      784      ○○○○●○○○●● 1100010000   0000100011  
scared       785      ●○○○●○○○●● 1100010001   1000100011  
scatter      786      ○●○○●○○○●● 1100010010   0100100011  
scene        787      ●●○○●○○○●● 1100010011   1100100011  
scholar      788      ○○●○●○○○●● 1100010100   0010100011  
science      789      ●○●○●○○○●● 1100010101   1010100011  
scout        790      ○●●○●○○○●● 1100010110   0110100011  
scramble     791      ●●●○●○○○●● 1100010111   1110100011  
screw        792      ○○○●●○○○●● 1100011000   0001100011  
script       793      ●○○●●○○○●● 1100011001   1001100011  
scroll       794      ○●○●●○○○●● 1100011010   0101100011  
seafood      795      ●●○●●○○○●● 1100011011   1101100011  
season       796      ○○●●●○○○●● 1100011100   0011100011  
secret       797      ●○●●●○○○●● 1100011101   1011100011  
security     798      ○●●●●○○○●● 1100011110   0111100011  
segment      799      ●●●●●○○○●● 1100011111   1111100011  
senior       800      ○○○○○●○○●● 1100100000   0000010011  
shadow       801      ●○○○○●○○●● 1100100001   1000010011  
shaft        802      ○●○○○●○○●● 1100100010   0100010011  
shame        803      ●●○○○●○○●● 1100100011   1100010011  
shaped       804      ○○●○○●○○●● 1100100100   0010010011  
sharp        805      ●○●○○●○○●● 1100100101   1010010011  
shelter      806      ○●●○○●○○●● 1100100110   0110010011  
sheriff      807      ●●●○○●○○●● 1100100111   1110010011  
short        808      ○○○●○●○○●● 1100101000   0001010011  
should       809      ●○○●○●○○●● 1100101001   1001010011  
shrimp       810      ○●○●○●○○●● 1100101010   0101010011  
sidewalk     811      ●●○●○●○○●● 1100101011   1101010011  
silent       812      ○○●●○●○○●● 1100101100   0011010011  
silver       813      ●○●●○●○○●● 1100101101   1011010011  
similar      814      ○●●●○●○○●● 1100101110   0111010011  
simple       815      ●●●●○●○○●● 1100101111   1111010011  
single       816      ○○○○●●○○●● 1100110000   0000110011  
sister       817      ●○○○●●○○●● 1100110001   1000110011  
skin         818      ○●○○●●○○●● 1100110010   0100110011  
skunk        819      ●●○○●●○○●● 1100110011   1100110011  
slap         820      ○○●○●●○○●● 1100110100   0010110011  
slavery      821      ●○●○●●○○●● 1100110101   1010110011  
sled         822      ○●●○●●○○●● 1100110110   0110110011  
slice        823      ●●●○●●○○●● 1100110111   1110110011  
slim         824      ○○○●●●○○●● 1100111000   0001110011  
slow         825      ●○○●●●○○●● 1100111001   1001110011  
slush        826      ○●○●●●○○●● 1100111010   0101110011  
smart        827      ●●○●●●○○●● 1100111011   1101110011  
smear        828      ○○●●●●○○●● 1100111100   0011110011  
smell        829      ●○●●●●○○●● 1100111101   1011110011  
smirk        830      ○●●●●●○○●● 1100111110   0111110011  
smith        831      ●●●●●●○○●● 1100111111   1111110011  
smoking      832      ○○○○○○●○●● 1101000000   0000001011  
smug         833      ●○○○○○●○●● 1101000001   1000001011  
snake        834      ○●○○○○●○●● 1101000010   0100001011  
snapshot     835      ●●○○○○●○●● 1101000011   1100001011  
sniff        836      ○○●○○○●○●● 1101000100   0010001011  
society      837      ●○●○○○●○●● 1101000101   1010001011  
software     838      ○●●○○○●○●● 1101000110   0110001011  
soldier      839      ●●●○○○●○●● 1101000111   1110001011  
solution     840      ○○○●○○●○●● 1101001000   0001001011  
soul         841      ●○○●○○●○●● 1101001001   1001001011  
source       842      ○●○●○○●○●● 1101001010   0101001011  
space        843      ●●○●○○●○●● 1101001011   1101001011  
spark        844      ○○●●○○●○●● 1101001100   0011001011  
speak        845      ●○●●○○●○●● 1101001101   1011001011  
species      846      ○●●●○○●○●● 1101001110   0111001011  
spelling     847      ●●●●○○●○●● 1101001111   1111001011  
spend        848      ○○○○●○●○●● 1101010000   0000101011  
spew         849      ●○○○●○●○●● 1101010001   1000101011  
spider       850      ○●○○●○●○●● 1101010010   0100101011  
spill        851      ●●○○●○●○●● 1101010011   1100101011  
spine        852      ○○●○●○●○●● 1101010100   0010101011  
spirit       853      ●○●○●○●○●● 1101010101   1010101011  
spit         854      ○●●○●○●○●● 1101010110   0110101011  
spray        855      ●●●○●○●○●● 1101010111   1110101011  
sprinkle     856      ○○○●●○●○●● 1101011000   0001101011  
square       857      ●○○●●○●○●● 1101011001   1001101011  
squeeze      858      ○●○●●○●○●● 1101011010   0101101011  
stadium      859      ●●○●●○●○●● 1101011011   1101101011  
staff        860      ○○●●●○●○●● 1101011100   0011101011  
standard     861      ●○●●●○●○●● 1101011101   1011101011  
starting     862      ○●●●●○●○●● 1101011110   0111101011  
station      863      ●●●●●○●○●● 1101011111   1111101011  
stay         864      ○○○○○●●○●● 1101100000   0000011011  
steady       865      ●○○○○●●○●● 1101100001   1000011011  
step         866      ○●○○○●●○●● 1101100010   0100011011  
stick        867      ●●○○○●●○●● 1101100011   1100011011  
stilt        868      ○○●○○●●○●● 1101100100   0010011011  
story        869      ●○●○○●●○●● 1101100101   1010011011  
strategy     870      ○●●○○●●○●● 1101100110   0110011011  
strike       871      ●●●○○●●○●● 1101100111   1110011011  
style        872      ○○○●○●●○●● 1101101000   0001011011  
subject      873      ●○○●○●●○●● 1101101001   1001011011  
submit       874      ○●○●○●●○●● 1101101010   0101011011  
sugar        875      ●●○●○●●○●● 1101101011   1101011011  
suitable     876      ○○●●○●●○●● 1101101100   0011011011  
sunlight     877      ●○●●○●●○●● 1101101101   1011011011  
superior     878      ○●●●○●●○●● 1101101110   0111011011  
surface      879      ●●●●○●●○●● 1101101111   1111011011  
surprise     880      ○○○○●●●○●● 1101110000   0000111011  
survive      881      ●○○○●●●○●● 1101110001   1000111011  
sweater      882      ○●○○●●●○●● 1101110010   0100111011  
swimming     883      ●●○○●●●○●● 1101110011   1100111011  
swing        884      ○○●○●●●○●● 1101110100   0010111011  
switch       885      ●○●○●●●○●● 1101110101   1010111011  
symbolic     886      ○●●○●●●○●● 1101110110   0110111011  
sympathy     887      ●●●○●●●○●● 1101110111   1110111011  
syndrome     888      ○○○●●●●○●● 1101111000   0001111011  
system       889      ●○○●●●●○●● 1101111001   1001111011  
tackle       890      ○●○●●●●○●● 1101111010   0101111011  
tactics      891      ●●○●●●●○●● 1101111011   1101111011  
tadpole      892      ○○●●●●●○●● 1101111100   0011111011  
talent       893      ●○●●●●●○●● 1101111101   1011111011  
task         894      ○●●●●●●○●● 1101111110   0111111011  
taste        895      ●●●●●●●○●● 1101111111   1111111011  
taught       896      ○○○○○○○●●● 1110000000   0000000111  
taxi         897      ●○○○○○○●●● 1110000001   1000000111  
teacher      898      ○●○○○○○●●● 1110000010   0100000111  
teammate     899      ●●○○○○○●●● 1110000011   1100000111  
teaspoon     900      ○○●○○○○●●● 1110000100   0010000111  
temple       901      ●○●○○○○●●● 1110000101   1010000111  
tenant       902      ○●●○○○○●●● 1110000110   0110000111  
tendency     903      ●●●○○○○●●● 1110000111   1110000111  
tension      904      ○○○●○○○●●● 1110001000   0001000111  
terminal     905      ●○○●○○○●●● 1110001001   1001000111  
testify      906      ○●○●○○○●●● 1110001010   0101000111  
texture      907      ●●○●○○○●●● 1110001011   1101000111  
thank        908      ○○●●○○○●●● 1110001100   0011000111  
that         909      ●○●●○○○●●● 1110001101   1011000111  
theater      910      ○●●●○○○●●● 1110001110   0111000111  
theory       911      ●●●●○○○●●● 1110001111   1111000111  
therapy      912      ○○○○●○○●●● 1110010000   0000100111  
thorn        913      ●○○○●○○●●● 1110010001   1000100111  
threaten     914      ○●○○●○○●●● 1110010010   0100100111  
thumb        915      ●●○○●○○●●● 1110010011   1100100111  
thunder      916      ○○●○●○○●●● 1110010100   0010100111  
ticket       917      ●○●○●○○●●● 1110010101   1010100111  
tidy         918      ○●●○●○○●●● 1110010110   0110100111  
timber       919      ●●●○●○○●●● 1110010111   1110100111  
timely       920      ○○○●●○○●●● 1110011000   0001100111  
ting         921      ●○○●●○○●●● 1110011001   1001100111  
tofu         922      ○●○●●○○●●● 1110011010   0101100111  
together     923      ●●○●●○○●●● 1110011011   1101100111  
tolerate     924      ○○●●●○○●●● 1110011100   0011100111  
total        925      ●○●●●○○●●● 1110011101   1011100111  
toxic        926      ○●●●●○○●●● 1110011110   0111100111  
tracks       927      ●●●●●○○●●● 1110011111   1111100111  
traffic      928      ○○○○○●○●●● 1110100000   0000010111  
training     929      ●○○○○●○●●● 1110100001   1000010111  
transfer     930      ○●○○○●○●●● 1110100010   0100010111  
trash        931      ●●○○○●○●●● 1110100011   1100010111  
traveler     932      ○○●○○●○●●● 1110100100   0010010111  
treat        933      ●○●○○●○●●● 1110100101   1010010111  
trend        934      ○●●○○●○●●● 1110100110   0110010111  
trial        935      ●●●○○●○●●● 1110100111   1110010111  
tricycle     936      ○○○●○●○●●● 1110101000   0001010111  
trip         937      ●○○●○●○●●● 1110101001   1001010111  
triumph      938      ○●○●○●○●●● 1110101010   0101010111  
trouble      939      ●●○●○●○●●● 1110101011   1101010111  
true         940      ○○●●○●○●●● 1110101100   0011010111  
trust        941      ●○●●○●○●●● 1110101101   1011010111  
twice        942      ○●●●○●○●●● 1110101110   0111010111  
twin         943      ●●●●○●○●●● 1110101111   1111010111  
type         944      ○○○○●●○●●● 1110110000   0000110111  
typical      945      ●○○○●●○●●● 1110110001   1000110111  
ugly         946      ○●○○●●○●●● 1110110010   0100110111  
ultimate     947      ●●○○●●○●●● 1110110011   1100110111  
umbrella     948      ○○●○●●○●●● 1110110100   0010110111  
uncover      949      ●○●○●●○●●● 1110110101   1010110111  
undergo      950      ○●●○●●○●●● 1110110110   0110110111  
unfair       951      ●●●○●●○●●● 1110110111   1110110111  
unfold       952      ○○○●●●○●●● 1110111000   0001110111  
unhappy      953      ●○○●●●○●●● 1110111001   1001110111  
union        954      ○●○●●●○●●● 1110111010   0101110111  
universe     955      ●●○●●●○●●● 1110111011   1101110111  
unkind       956      ○○●●●●○●●● 1110111100   0011110111  
unknown      957      ●○●●●●○●●● 1110111101   1011110111  
unusual      958      ○●●●●●○●●● 1110111110   0111110111  
unwrap       959      ●●●●●●○●●● 1110111111   1111110111  
upgrade      960      ○○○○○○●●●● 1111000000   0000001111  
upstairs     961      ●○○○○○●●●● 1111000001   1000001111  
username     962      ○●○○○○●●●● 1111000010   0100001111  
usher        963      ●●○○○○●●●● 1111000011   1100001111  
usual        964      ○○●○○○●●●● 1111000100   0010001111  
